Archanara dissoluta
Notodonta tritophus
Catocala elocata
Hydrelia flammeolaria
Epilecta linogrisea
Orthosia incerta
Polymixis lichenea
Comibaena bajularia
Scopula imitaria
Hydriomena furcata
Apamea remissa
Eupithecia subfuscata
Lycophotia porphyrea
Lobophora halterata
Apamea lithoxylaea
Mythimna impura
Noctua orbona
Meganola strigula
Calamia tridens
Catarhoe basochesiata
Menophra abruptaria
Acherontia atropos
Paysandisia archon
Petrophora chlorosata
Cabera exanthemata
Macroglossum stellatarum
Charissa mucidaria
Deilephila elpenor
Microloxia herbaria
Noctua interposita
Isturgia famula
Dicycla oo
Scopula marginepunctata
Gandaritis pyraliata
Rhyacia simulans
Rusina ferruginea
Itame vincularia
Synanthedon myopaeformis
Agrotis puta
Phlogophora meticulosa
Herminia tarsipennalis
Idaea infirmaria
Peribatodes ilicaria
Drymonia querna
Menophra japygiaria
Aethalura punctulata
Agrochola circellaris
Phalera bucephala
Tephronia sepiaria
Deltote pygarga
Hoplodrina blanda
Catocala nupta
Scopula nigropunctata
Lygephila craccae
Panemeria tenebrata
Scopula ornata
Geometra papilionaria
Rhoptria asperaria
Lymantria dispar
Pseudopanthera macularia
Deilephila porcellus
Acronicta tridens
Timandra comae
Apamea monoglypha
Spilosoma lutea
Conistra rubiginosa
Hoplodrina octogenaria
Catocala sponsa
Nonagria typhae
Selenia dentaria
Hyles euphorbiae
Zebeeba falsalis
Pandesma robusta
Tyria jacobaeae
Scotopteryx peribolata
Spatalia argentina
Dysgonia torrida
Gymnoscelis rufifasciata
Euxoa tritici
Idaea cervantaria
Elaphria venustula
Ophiusa tirhaca
Idaea politaria
Phragmatobia fuliginosa
Cataclysme riguata
Marumba quercus
Valeria jaspidea
Watsonalla uncinula
Phaiogramma etruscaria
Adactylotis gesticularia
Cymatophorina diluta
Leucania obsoleta
Ecliptopera silaceata
Synanthedon spheciformis
Cucullia calendulae
Coenobia rufa
Noctua fimbriata
Philereme transversata
Cucullia chamomillae
Mamestra brassicae
Catephia alchymista
Apamea lateritia
Heliothis peltigera
Xanthorhoe ferrugata
Cleora cinctaria
Idaea rubraria
Idaea eugeniata
Conistra ligula
Herminia tarsicrinalis
Idaea contiguaria
Hylaea fasciaria
Cyclophora punctaria
Thysanoplusia orichalcea
Callopistria latreillei
Plemyria rubiginata
Conistra vaccinii
Lomaspilis marginata
Scopula emutaria
Episema glaucina
Lacanobia contigua
Ipimorpha retusa
Eugnorisma glareosa
Eremobia ochroleuca
Aglaope infausta
Scoliopteryx libatrix
Mythimna vitellina
Agrochola macilenta
Agrochola lota
Eublemma purpurina
Pachycnemia hippocastanaria
Earias insulana
Phragmataecia castaneae
Thyatira batis
Idaea straminata
Nycteola revayana
Lythria sanguinaria
Costaconvexa polygrammata
Cyclophora linearia
Ocneria rubea
Erannis defoliaria
Grammodes bifasciata
Habrosyne pyritoides
Orthosia miniosa
Zygaena lavandulae
Arctia festiva
Zanclognatha lunalis
Idaea mustelata
Stegania trimaculata
Zygaena rhadamanthus
Mythimna sicula
Alcis repandata
Chloroclysta miata
Lithosia quadra
Amphipyra tragopoginis
Caradrina clavipalpis
Cosmia affinis
Catarhoe cuculata
Xestia baja
Lasiocampa quercus
Isturgia pulinda
Leucoma salicis
Hecatera dysodea
Aspitates ochrearia
Diacrisia sannio
Clostera pigra
Opisthograptis luteolata
Dysstroma citrata
Cucullia lychnitis
Apamea anceps
Caradrina morpheus
Anarta myrtilli
Helicoverpa armigera
Sphinx maurorum
Agriopis marginaria
Cucullia umbratica
Noctua interjecta
Agrochola lunosa
Xestia stigmatica
Agrotis trux
Tathorhynchus exsiccata
Synanthedon formicaeformis
Acontia trabealis
Pasiphila rectangulata
Agrius cingulata
Miltochrista miniata
Peribatodes umbraria
Idaea ostrinaria
Cosmia pyralina
Pachetra sagittigera
Cryphia algae
Melanchra persicariae
Lymantria monacha
Paradarisa consonaria
Mimas tiliae
Hadena albimacula
Lomographa bimaculata
Idaea minuscularia
Aleucis distinctata
Idaea moniliata
Eupithecia icterata
Zygaena trifolii
Trachea atriplicis
Lacanobia w-latinum
Chloroclystis v-ata
Euclidia glyphica
Mniotype occidentalis
Lacanobia oleracea
Euxoa nigricans
Agrotis clavis
Amphipyra pyramidea
Isturgia murinaria
Chiasmia aestimaria
Peridroma saucia
Larentia malvata
Catarhoe rubidata
Hypena rostralis
Mormo maura
Apamea sordens
Aplocera praeformata
Spodoptera littoralis
Thumatha senex
Phytometra viridaria
Acronicta psi
Lacanobia thalassina
Minucia lunaris
Thera obeliscata
Xanthia togata
Drymonia dodonaea
Noctua janthe
Nebula ibericata
Eupithecia abbreviata
Ptilodon capucina
Catocala promissa
Cabera pusaria
Arctornis l-nigrum
Utetheisa pulchella
Eutelia adulatrix
Tholera decimalis
Cucullia verbasci
Rhodostrophia calabra
Xanthorhoe fluctuata
Nodaria nodosalis
Mythimna conigera
Dicranura ulmi
Macaria alternata
Photedes minima
Furcula furcula
Cleorodes lichenaria
Mythimna albipuncta
Agrotis spinifera
Chemerina caliginearia
Paranthrene tabaniformis
Lythria purpuraria
Macaria notata
Eupithecia tenuiata
Synanthedon culiciformis
Cilix glaucata
Jodia croceago
Spilosoma lubricipeda
Thalera fimbrialis
Paidia rica
Diarsia rubi
Perizoma flavofasciata
Moma alpium
Perizoma bifaciata
Schrankia costaestrigalis
Crocallis tusciaria
Anarta trifolii
Orthosia gracilis
Hippotion celerio
Trichoplusia ni
Plagodis dolabraria
Gnophos furvata
Colostygia multistrigaria
Eupithecia assimilata
Eilema pygmaeola
Cyclophora albipunctata
Xestia xanthographa
Coscinia chrysocephala
Apamea crenata
Luperina dumerilii
Jodis lactearia
Odezia atrata
Dysstroma truncata
Agrotis bigramma
Oligia versicolor
Polyploca ridens
Pseudoterpna coronillaria
Euphyia unangulata
Zethes insularis
Eupithecia innotata
Malacosoma alpicola
Lithophane leautieri
Hypena obesalis
Psilogaster loti
Hadena bicruris
Xestia agathina
Callopistria juventina
Anticlea derivata
Idaea humiliata
Gastropacha quercifolia
Lycia hirtaria
Eupithecia absinthiata
Pheosia tremula
Crocallis elinguaria
Acronicta rumicis
Sesia apiformis
Camptogramma bilineata
Chesias legatella
Proserpinus proserpina
Idaea biselata
Hemithea aestivaria
Acronicta auricoma
Plusia festucae
Alsophila aceraria
Ennomos erosaria
Herminia grisealis
Spodoptera cilium
Stauropus fagi
Chrysodeixis acuta
Atethmia centrago
Agrius convolvuli
Oligia latruncula
Abrostola triplasia
Hypena obsitalis
Apamea scolopacina
Heliothis viriplaca
Antitype chi
Hydriomena impluviata
Cerura iberica
Philereme vetulata
Macdunnoughia confusa
Brithys crini
Gortyna flavago
Scopula minorata
Ecleora solieraria
Selenia lunularia
Hydraecia micacea
Garella nilotica
Idaea degeneraria
Eilema complana
Drepana curvatula
Cossus cossus
Scopula submutata
Zygaena occitanica
Eupithecia venosata
Ourapteryx sambucaria
Cyclophora pendularia
Heterogenea asella
Rhodostrophia vibicaria
Abraxas grossulariata
Nola squalida
Luperina testacea
Eilema depressa
Cymbalophora pudica
Eupithecia breviculata
Euproctis chrysorrhoea
Leucania loreyi
Colotois pennaria
Eupithecia dodoneata
Conistra rubiginea
Ennomos alniaria
Scopula rubiginata
Orthosia gothica
Synopsia sociaria
Eurranthis plummistaria
Diarsia brunnea
Axylia putris
Euphyia biangulata
Hada plebeja
Acontia lucida
Idaea deversaria
Triodia sylvina
Callimorpha dominula
Euproctis similis
Eilema sororcula
Anorthoa munda
Siona lineata
Eublemma ostrina
Cyclophora porata
Mythimna litoralis
Euclidia mi
Helotropha leucostigma
Nyctobrya muralis
Cerastis faceta
Synanthedon vespiformis
Falcaria lacertinaria
Ematurga atomaria
Orgyia antiqua
Drymonia velitaris
Dysauxes punctata
Macaria liturata
Eupithecia pulchellata
Thaumetopoea processionea
Xestia triangulum
Hypomecis roboraria
Leucochlaena oditis
Ennomos fuscantaria
Malacosoma castrensis
Polyphaenis sericata
Euxoa obelisca
Harpyia milhauseri
Paracolax tristalis
Aplocera plagiata
Saturnia pavonia
Poecilocampa populi
Agrotis segetum
Sphinx ligustri
Diloba caeruleocephala
Drymonia ruficornis
Aplasta ononaria
Colostygia pectinataria
Xylena exsoleta
Campaea margaritaria
Xestia c-nigrum
Peridea anceps
Cosmia trapezina
Aporophyla lueneburgensis
Earias clorana
Agrochola lychnidis
Globia sparganii
Arctia villica
Lemonia dumi
Lithophane ornitopus
Diachrysia chrysitis
Ectropis crepuscularia
Sideridis turbida
Diaphora mendica
Spudaea ruticilla
Bryophila domestica
Chloroclysta siterata
Conistra erythrocephala
Agrochola helvola
Rivula sericealis
Chloantha hyperici
Agriopis leucophaearia
Bembecia ichneumoniformis
Notodonta ziczac
Litoligia literosa
Malacosoma neustria
Bena bicolorana
Calliteara pudibunda
Acasis viretata
Epirrhoe alternata
Aspitates gilvaria
Colocasia coryli
Hyles livornica
Ipimorpha subtusa
Idaea aversata
Thaumetopoea herculeana
Hemaris fuciformis
Watsonalla binaria
Cybosia mesomella
Lateroligia ophiogramma
Egira conspicillaris
Dasypolia templi
Scotopteryx chenopodiata
Macrothylacia rubi
Chrysodeixis chalcites
Acronicta leporina
Idaea inquinata
Ochropleura leucogaster
Trigonophora flammea
Rhizedra lutosa
Polymixis flavicincta
Eilema lurideola
Nola confusalis
Grammodes stolida
Scopula decorata
Hadena compta
Idaea dimidiata
Eupithecia oxycedrata
Epirrhoe galiata
Mesapamea secalis
Spodoptera exigua
Orthosia cerasi
Lithophane semibrunnea
Hoplodrina ambigua
Euplexia lucipara
Biston betularia
